CRN,Term,Course,Section,Course Title,Schedule Type,Title,Meeting Pattern,Instructor,Building and Room,Part of Term,Credit Hrs Min,Maximum Enrollment
30267,Fall 2019,DGM 2250,3,Principles of Digital Design,Hybrid (HY),,R 4pm-5:15pm,Staff,CS 715B; ONLINE ONLINE,Full Term (1),3,27
28893,Fall 2019,DGM 2250,320,Principles of Digital Design,Hybrid (HY),,R 4pm-5:15pm,Staff,TGPT 111; ONLINE ONLINE,Full Term (1),3,18
,,,,,,,,,,,,
16210,Fall 2019,DGM 2260,1,Immersive Authoring I,Face to Face (F),,TR 11:30am-12:45pm,Staff,CS 406,Full Term (1),3,24
,,,,,,,,,,,,
26654,Fall 2019,DGM 2270,1,Digital Publishing I,Face to Face (F),,F 8am-10:30am,Staff,CS 406,Full Term (1),3,25
,,,,,,,,,,,,
23166,Fall 2019,DGM 2271,1,Digital Media Design I,Hybrid (HY),,W 11:30am-12:45pm,Staff,CS 406; ONLINE ONLINE,Full Term (1),3,25
25227,Fall 2019,DGM 2271,X01,Digital Media Design I,Internet (W),,Does Not Meet,Staff,ONLINE ONLINE,Full Term (1),3,40
,,,,,,,,,,,,
20683,Fall 2019,DGM 2320,1,Digital Photography Composit I,Face to Face (F),,F 8am-10:30am,Staff,CS 613,Full Term (1),3,30
19523,Fall 2019,DGM 2320,2,Digital Photography Composit I,Face to Face (F),,MW 4pm-5:15pm,Staff,CS 613,Full Term (1),3,30
28900,Fall 2019,DGM 2320,601,Digital Photography Composit I,Face to Face (F),,W 5:30pm-8pm,Staff,CS 613,Full Term (1),3,30
,,,,,,,,,,,,
23978,Fall 2019,DGM 2340,2,Digital Output for Film,Face to Face (F),,TR 11am-12:40pm,Staff,CS 613,Full Term (1),3,30
,,,,,,,,,,,,
26686,Fall 2019,DGM 2341,1,Digital Output Mobile Media,Face to Face (F),,F 1pm-3:30pm,Staff,CS 406,Full Term (1),3,25
,,,,,,,,,,,,
29511,Fall 2019,DGM 240R,602,Special Top in Digital Audio,Face to Face (F),Spcl TOP Dig Audio Sound Desgn,MW 5:30pm-6:45pm,Staff,CS 623,Full Term (1),3,20
31276,Fall 2019,DGM 240R,I01,Special Top in Digital Audio,Face to Face (F),,Does Not Meet,Staff,TBA TBA,Full Term (1),3,9
,,,,,,,,,,,,
26763,Fall 2019,DGM 2410,1,Core Recording Principles,Face to Face (F),,TR 10am-11:15am,Staff,CS 623,Full Term (1),3,28
,,,,,,,,,,,,
25549,Fall 2019,DGM 2440,1,Sound for Film and Television,Face to Face (F),,TR 8:30am-9:45am,Staff,CS 623,Full Term (1),3,28
,,,,,,,,,,,,
16213,Fall 2019,DGM 2460,1,Radio Production,Face to Face (F),,MW 4pm-5:15pm,Staff,CS 623,Full Term (1),3,28
,,,,,,,,,,,,
23980,Fall 2019,DGM 2481,1,Intro Digital Audi Restoration,Face to Face (F),,MW 2:30pm-3:45pm,Staff,CS 623,Full Term (1),3,28
,,,,,,,,,,,,
20602,Fall 2019,DGM 2540,1,Cinematography I,Face to Face (F),,TR 2:30pm-4:50pm,Staff,LC 311B,Full Term (1),3,15
25548,Fall 2019,DGM 2540,601,Cinematography I,Face to Face (F),,TR 5:30pm-8pm,Staff,LC 311B,Full Term (1),3,15
28345,Fall 2019,DGM 2540,602,Cinematography I,Face to Face (F),,MW 5:30pm-8pm,Staff,LC 311B,Full Term (1),3,15
,,,,,,,,,,,,
29332,Fall 2019,DGM 2570,1,Intro Digital Storytelling,Face to Face (F),,MW 1pm-2:15pm,Staff,General Assignment Room,Full Term (1),3,15
30486,Fall 2019,DGM 2570,2,Intro Digital Storytelling,Face to Face (F),,TR 2:30pm-4:10pm,Staff,General Assignment Room,Full Term (1),3,16
29281,Fall 2019,DGM 2570,601,Intro Digital Storytelling,Face to Face (F),,TR 5:30pm-6:45pm,Staff,General Assignment Room,Full Term (1),3,15
,,,,,,,,,,,,
27978,Fall 2019,DGM 260R,201,Topics Animation/Game Dev,Face to Face Lab (X),,MWF 10am-10:50am,Staff,CS 514,Full Term (1),1,27
,,,,,,,,,,,,
23167,Fall 2019,DGM 2620,1,Principles of Animation I,Hybrid (HY),,MW 8am-9:25am,Staff,CS 518; ONLINE ONLINE,Full Term (1),3,28
,,,,,,,,,,,,
30487,Fall 2019,DGM 2661,601,Digital Storyboarding Cinema,Face to Face (F),,T 5:30pm-8pm,Staff,CS 518,Full Term (1),3,32
30488,Fall 2019,DGM 2661,602,Digital Storyboarding Cinema,Face to Face (F),,R 5:30pm-8pm,Staff,General Assignment Room,Full Term (1),3,32
,,,,,,,,,,,,
27980,Fall 2019,DGM 2670,1,Scripting for Animation II,Face to Face (F),,MW 1pm-2:15pm,Staff,CS 514,Full Term (1),3,27
,,,,,,,,,,,,
30728,Fall 2019,DGM 270R,1,Topics Web Design and Dev,Face to Face (F),,TR 8:30am-9:45am,Staff,CS 406,Full Term (1),1,25
,,,,,,,,,,,,
27414,Fall 2019,DGM 2740,X01,Principles of Web Languages,Internet (W),,Does Not Meet,Staff,ONLINE ONLINE,Full Term (1),3,40
,,,,,,,,,,,,
16933,Fall 2019,DGM 2760,X01,Web Languages I,Internet (W),,Does Not Meet,Staff,ONLINE ONLINE,Full Term (1),3,40
,,,,,,,,,,,,
28425,Fall 2019,DGM 2780,601,Web Tools and Frameworks I,Face to Face (F),,R 6pm-8:30pm,Staff,CS 518,Full Term (1),3,25
,,,,,,,,,,,,
22565,Fall 2019,DGM 281R,3,Internship,Face to Face (F),,Does Not Meet,"Brown, Kim (10550190); Moore, Sara (10454186)",TBA TBA,Internship (INT),1,10
,,,,,,,,,,,,
30693,Fall 2019,DGM 301R,601,Digital Lecture Series,Face to Face (F),,M 5:30pm-6:30pm,Staff,General Assignment Room,Full Term (1),1,50
,,,,,,,,,,,,
16244,Fall 2019,DGM 3110,1,Corporate Issues Digital Media,Face to Face (F),,MW 1pm-2:15pm,Staff,CS 406,Full Term (1),3,25
31226,Fall 2019,DGM 3110,I01,Corporate Issues Digital Media,Face to Face (F),,Does Not Meet,Staff,TBA TBA,Full Term (1),3,2
,,,,,,,,,,,,
26602,Fall 2019,DGM 312G,X01,Digital Media Intercul Comm GI,Internet (W),,Does Not Meet,Staff,ONLINE ONLINE,Full Term (1),3,25
29288,Fall 2019,DGM 312G,X02,Digital Media Intercul Comm GI,Internet (W),,Does Not Meet,Staff,ONLINE ONLINE,Full Term (1),3,25
,,,,,,,,,,,,
16227,Fall 2019,DGM 3220,1,Digital Media Project Mgmt,Face to Face (F),,MW 2:30pm-3:45pm,Staff,CS 406,Full Term (1),3,25
,,,,,,,,,,,,
26483,Fall 2019,DGM 3240,1,Interaction Design Colloquium,Face to Face (F),,TR 2:30pm-3:45pm,Staff,CS 406,Full Term (1),3,25
,,,,,,,,,,,,
20254,Fall 2019,DGM 3261,1,Authoring for VRE,Face to Face (F),,F 10am-12:30pm,Staff,CS 715B,Full Term (1),3,27
,,,,,,,,,,,,
17034,Fall 2019,DGM 3280,1,Authoring for Adaptive Media I,Face to Face (F),,TR 10am-11:15am,Staff,CS 406,Full Term (1),3,24
,,,,,,,,,,,,
19286,Fall 2019,DGM 3320,1,Dgtl Photogrphy Compositing II,Face to Face (F),,F 11am-1:30pm,Staff,CS 613,Full Term (1),3,30
,,,,,,,,,,,,
30979,Fall 2019,DGM 340R,I01,Adv Top in Digital Audio,Face to Face (F),,Does Not Meet,Staff,TBA TBA,Full Term (1),3,4
,,,,,,,,,,,,
23307,Fall 2019,DGM 3410,1,Studio Engineering I,Face to Face (F),,TR 2:30pm-3:45pm,Staff,CS 623,Full Term (1),3,28
,,,,,,,,,,,,
30492,Fall 2019,DGM 3430,1,Studio Design,Face to Face (F),,TR 1pm-2:15pm,Staff,General Assignment Room,Full Term (1),3,20
,,,,,,,,,,,,
27902,Fall 2019,DGM 3440,1,Sound for Games,Face to Face (F),,TR 4pm-5:15pm,Staff,CS 623,Full Term (1),3,28
,,,,,,,,,,,,
19345,Fall 2019,DGM 351R,1,Digital Broadcasting,Face to Face (F),,R 3pm-4:50pm,Staff,General Assignment Room; TBA TBA,Full Term (1),3,18
,,,,,,,,,,,,
26482,Fall 2019,DGM 3520,1,Digital Motion Pict Production,Face to Face (F),,MW 9am-10:40am,Staff,LC 309,Full Term (1),3,20
,,,,,,,,,,,,
26783,Fall 2019,DGM 3530,601,Digital Film Prod Mgmt,Face to Face (F),,T 6pm-8:30pm,Staff,CS 613,Full Term (1),3,22
,,,,,,,,,,,,
21448,Fall 2019,DGM 3540,1,Cinematography II,Face to Face (F),,MW 1pm-3:15pm,Staff,LC 311B,Full Term (1),3,19
,,,,,,,,,,,,
27903,Fall 2019,DGM 3550,1,Producing I,Face to Face (F),,TR 1pm-2:15pm,Staff,General Assignment Room,Full Term (1),3,50
31180,Fall 2019,DGM 3550,2,Producing I,Face to Face (F),,TR 8:30am-9:45am,Staff,General Assignment Room,Full Term (1),3,20
,,,,,,,,,,,,
27904,Fall 2019,DGM 3560,601,Post Production,Face to Face (F),,M 5:30pm-8pm,Staff,CS 613; TBA TBA,Full Term (1),3,19
,,,,,,,,,,,,
23169,Fall 2019,DGM 3570,1,Digital Story Telling Workshop,Face to Face (F),,TR 10am-11:15am,Staff,General Assignment Room,Full Term (1),3,22
,,,,,,,,,,,,
19344,Fall 2019,DGM 3580,1,Directing Wrkshp,Face to Face (F),,MW 1pm-3:15pm,Staff,LC 309,Full Term (1),3,20
,,,,,,,,,,,,
27986,Fall 2019,DGM 3620,1,Principles of Animation II,Face to Face (F),,TR 10am-11:15am,Staff,CS 518,Full Term (1),3,28
,,,,,,,,,,,,
18703,Fall 2019,DGM 3650,1,Animation/Game Project I,Face to Face (F),,TR 1pm-3:30pm,Staff,CS 514,Full Term (1),3,24
27985,Fall 2019,DGM 3650,2,Animation/Game Project I,Face to Face (F),,TR 1pm-3:15pm,Staff,CS 518,Full Term (1),3,28
,,,,,,,,,,,,
23981,Fall 2019,DGM 3660,1,Adv Rigging and Char FX,Face to Face (F),,TR 11:30am-12:45pm,Staff,CS 514,Full Term (1),3,26
,,,,,,,,,,,,
28115,Fall 2019,DGM 3670,1,Script Game Anim III,Face to Face (F),,TR 8:30am-9:45am,Staff,CS 518,Full Term (1),3,28
,,,,,,,,,,,,
30495,Fall 2019,DGM 370R,601,Adv Topic Web Design/Dev,Face to Face (F),AdvTop Web Design/Dev VoiceExp,T 7pm-9:30pm,Staff,CS 406,Full Term (1),3,18
30625,Fall 2019,DGM 370R,I02,Adv Topic Web Design/Dev,Face to Face (F),Adv Top Web Des/Comm Dig Pract,Does Not Meet,Staff,TBA TBA,Full Term (1),3,8
31199,Fall 2019,DGM 370R,I03,Adv Topic Web Design/Dev,Face to Face (F),,Does Not Meet,Staff,TBA TBA,Full Term (1),3,9
,,,,,,,,,,,,
31059,Fall 2019,DGM 3740,I01,Web Content Management,Face to Face (F),,Does Not Meet,Staff,TBA TBA,Full Term (1),3,9
,,,,,,,,,,,,
23168,Fall 2019,DGM 3750,1,Media Traffic and Analytics,Face to Face (F),,F 8am-10:30am,Staff,General Assignment Room,Full Term (1),3,24
31195,Fall 2019,DGM 3750,601,Media Traffic and Analytics,Face to Face (F),,T 5pm-7:30pm,Staff,General Assignment Room,Full Term (1),3,25
,,,,,,,,,,,,
29195,Fall 2019,DGM 3760,1,Web Languages II,Hybrid (HY),,M 8am-9:15am,Staff,CS 406; ONLINE ONLINE,Full Term (1),3,18
,,,,,,,,,,,,
30268,Fall 2019,DGM 3790,1,RIA I,Face to Face (F),,MW 2:30pm-3:45pm,Staff,General Assignment Room,Full Term (1),3,18
,,,,,,,,,,,,
16233,Fall 2019,DGM 4000,1,Writing for Digital Media,Face to Face (F),,MW 2:30pm-3:45pm,Staff,General Assignment Room,Full Term (1),3,24
,,,,,,,,,,,,
16235,Fall 2019,DGM 4310,1,Senior Capstone I,Face to Face (F),Sr Projects I - Digital Audio,Does Not Meet,Staff,TBA TBA,Full Term (1),3,25
20424,Fall 2019,DGM 4310,2,Senior Capstone I,Face to Face (F),Senior Projects I Animation,MW 11:30am-12:45pm,Staff,CS 518,Full Term (1),3,28
16236,Fall 2019,DGM 4310,601,Senior Capstone I,Face to Face (F),Sr Projects I - Digital Video,W 4pm-5:50pm,Staff,General Assignment Room; TBA TBA,Full Term (1),3,30
16237,Fall 2019,DGM 4310,602,Senior Capstone I,Face to Face (F),Sr Proj 1 Internet Technology,W 5:30pm-6:50pm,Staff,CS 406; TBA TBA,Full Term (1),3,25
31200,Fall 2019,DGM 4310,I01,Senior Capstone I,Face to Face (F),,Does Not Meet,Staff,TBA TBA,Full Term (1),3,5
,,,,,,,,,,,,
28037,Fall 2019,DGM 4410,601,Senior Capstone II,Face to Face (F),,W 5:30pm-6:50pm,Staff,CS 406; TBA TBA,Full Term (1),3,25
,,,,,,,,,,,,
25979,Fall 2019,DGM 4430,601,Audio Mastering,Face to Face (F),,TR 5:30pm-6:45pm,Staff,CS 623,Full Term (1),3,28
,,,,,,,,,,,,
29307,Fall 2019,DGM 450R,1,Story Editing for Media,Face to Face (F),,TR 12pm-2:10pm,Staff,LC 309,Full Term (1),3,15
,,,,,,,,,,,,
28892,Fall 2019,DGM 454R,1,Cinematography Workshop,Face to Face (F),,MW 10am-11:40am,Staff,LC 311B,Full Term (1),3,18
,,,,,,,,,,,,
26653,Fall 2019,DGM 4560,1,Color Grading,Face to Face (F),,TR 3pm-4:40pm,Staff,CS 613,Full Term (1),3,30
,,,,,,,,,,,,
30498,Fall 2019,DGM 457R,1,Longform Storytelling,Face to Face (F),,MWF 11am-12:25pm,Staff,LC 309,Full Term (1),3,15
,,,,,,,,,,,,
16232,Fall 2019,DGM 4630,1,Technical Direction I,Face to Face (F),,MW 10am-11:15am,Staff,CS 518,Full Term (1),3,24
,,,,,,,,,,,,
27360,Fall 2019,DGM 481R,4,Internship,Face to Face (F),,Does Not Meet,"Brown, Kim (10550190); Moore, Sara (10454186)",TBA TBA,Internship (INT),1,9
,,,,,,,,,,,,
24867,Fall 2019,DGM 497R,I01,Independent Study,Face to Face (F),Indpndnt Stdy Motion Capture,Does Not Meet,Staff,TBA TBA,Full Term (1),3,9
31083,Fall 2019,DGM 497R,I04,Independent Study,Face to Face (F),Ind Study Animation,Does Not Meet,Staff,TBA TBA,Full Term (1),3,4
30591,Fall 2019,DGM 497R,I08,Independent Study,Face to Face (F),Ind Study Documentary Prod,Does Not Meet,Staff,TBA TBA,Full Term (1),3,5
